concept_id,concept_name,patient_count
442099,Benign neoplasm of large intestine,30847
201773,Enteritis of small intestine,30789
200588,Injury of abdomen,30765
80665,Malignant neoplasm of thorax,30650
439708,Disorders of initiating and maintaining sleep,30593
40481998,Mass of uterine adnexa,30382
4199590,Closed fracture of lower limb,30096
4282857,Closed fracture of upper limb,29941
192956,Cholecystitis,29913
40323459,Fracture of bone of face,29758
4129499,Mass of ovary,29753
433516,Duodenitis,29592
4082135,Crystalline lens finding,29588
373785,Disorder of lens,29588
4043343,Disorder of bile duct,29537
4207184,Bacterial respiratory infection,29499
439658,Disorder of pregnancy,29476
77234,Benign neoplasm of colon,29472
4027369,Vascular disease of abdomen,29391
4101468,Gastroenteritis,29377
4319605,Inflammation of orbit,29282
3655971,Atrial cardiopathy,29259
4279139,Fracture of bones of trunk,29214
4089548,Body of uterus finding,29201
4030055,Uninodular goiter,29046
134898,Non-toxic uninodular goiter,29009
606559,Displacement of intervertebral disc,28987
35624383,Disorder of renal parenchyma,28775
375545,Cataract,28771
4088106,Cataract finding,28771
381591,Cerebrovascular disease,28752
4177236,Malignant tumor of pelvis,28747
4335747,Disorder of inner ear,28721
434770,Closed fracture of bones of trunk,28700
81303,Labyrinthine disorder,28638
4230709,Vestibular system finding,28638
4305274,Ischemic encephalopathy,28543
443432,Impaired cognition,28520
443454,Cerebral infarction,28514
4242411,Acute nephropathy,28504
4115576,Lesion of gallbladder,28457
4287399,Retroperitoneal mass,28430
4319447,Urolithiasis,28394
198988,Primary malignant neoplasm of pelvis,28382
81902,Urinary tract infectious disease,28242
379019,Conjunctivitis,28212
439847,Intracranial hemorrhage,28161
439156,Finding of neonate,28149
4318403,Disorder of nasal septum,28102
4091821,Nasal septum finding,28102
377910,Deviated nasal septum,28057
4091347,Nasal deviation,28057
4297179,Disorder of lymph node,28028
4073287,Chronic infectious disease,28005
442019,Complication of procedure,27995
4053317,Perineal finding,27929
201337,Disorder of urinary bladder,27902
4188971,Chronic disease of immune structure,27893
443285,Lesion of cervix,27857
4155629,Abdominal cavity injury,27796
200763,Chronic hepatitis,27773
45772120,Gastroduodenal disorder,27645
195306,Gastroduodenitis,27613
315085,Lymphadenopathy,27590
437663,Fever,27356
75128,Injury of chest wall,27325
4267560,Neoplasm of integumentary system,27229
4193874,Bacterial infection of the digestive tract,27217
43531055,Disorder of perineum,27123
441848,Cranial nerve disorder,27107
4077967,Lesion of mucosa,26964
432347,Chronic disease of tonsils AND/OR adenoids,26924
45769811,Concussion injury of body structure,26919
37311947,Hemorrhage of digestive system,26860
192359,Renal failure syndrome,26823
4288734,Bronchiolar disease,26822
435463,Herpesvirus infection,26715
4080993,Corneal finding,26629
377280,Disorder of cornea,26629
4033494,Disorder of scalp,26590
4001336,Concussion injury of brain,26550
194995,Disorder of ureter,26482
4178949,Sequelae of inflammatory diseases,26468
80004,Injury of hand,26423
40483613,Inflammatory disease of female genital structure,26411
4053838,Foreign body,26338
132797,Sepsis,26336
4178979,Malignant tumor of neck,26298
193253,Nephritis,26275
437677,Abnormal findings on diagnostic imaging of lung,26203
4054835,Neoplasm of head,26194
4132094,Disorder of endocrine gonad,26186
4100932,Knee joint finding,26172
4180630,Disorder of labor / delivery,26136
40488439,Abnormality of systemic vein,26100
4324765,Arthropathy of knee joint,26075
4027539,Disorder of skin AND/OR subcutaneous tissue of head,26047
4301891,Congenital anomaly of trunk,26002
618696,Contusion of head and/or neck,25976
4185206,Finding of vertebra,25958
444201,Post-infectious disorder,25932
259848,Chronic rhinitis,25859
442106,Idiopathic disease,25845
192671,Gastrointestinal hemorrhage,25788
4181064,Inflammatory disorder of extremity,25732
4266792,Disorder of skin of head,25730
4249437,Disease caused by Alphaherpesvirinae,25730
30346,Primary malignant neoplasm of neck,25691
4182011,Finding of joint movement,25677
4012113,Chronic viral hepatitis,25635
141050,Disorder of hard tissues of teeth,25560
197913,Disorder of function of stomach,25505
45769862,Kidney lesion,25423
439418,Indigestion,25395
4104139,Finding of general observation of digestion,25395
4289526,Nonulcer dyspepsia,25395
4156115,Malignant neoplasm of endocrine gland,25339
4334643,Closed wound of head,25243
42536696,Contusion of head,25231
4216185,Open wound of upper limb,25201
196151,Functional disorder of intestine,25200
4087640,Dilatation of blood vessel,25163
4271505,Ease of respiration - finding,25005
4041664,Difficulty breathing,25005
26711,Chronic pharyngitis,25005
4135731,Fracture of frontonasoethmoidal complex,24961
4169252,Internal injury of abdominal organ,24945
374009,Organic mental disorder,24927
42538046,Perioperative complication,24902
4300243,Postoperative complication,24902
133420,Primary malignant neoplasm of endocrine gland,24835
4197328,Finding of digit of hand,24738
373087,Central nervous system complication,24700
37396146,Gastrointestinal infection,24685
45757060,Closed fracture of naso orbital ethmoid,24599
4094343,Dislocations/sprains/strains,24584
4178976,Malignant tumor of thyroid gland,24547
443458,Closed fracture of facial bone,24485
4179922,Cytopenia,24403
199866,Acute gastritis,24392
24969,Laryngitis,24375
46271022,Chronic kidney disease,24291
444131,Injury of lower leg,24221
141825,Simple goiter,24203
4055620,Impacted third molar tooth,24128
133424,Primary malignant neoplasm of thyroid gland,24042
433701,Mycosis,24019
4170116,Oral infection,23895
